time,gFx,gFy,gFz,TgF
16:39:35:738,0.9521,-0.0135,0.2586,0.987
16:39:35:746,0.9533,-0.0137,0.2608,0.988
16:39:35:748,0.9546,-0.0142,0.2628,0.990
16:39:35:753,0.9568,-0.0137,0.2630,0.992
16:39:35:759,0.9585,-0.0125,0.2596,0.993
16:39:35:763,0.9590,-0.0120,0.2545,0.992
16:39:35:768,0.9580,-0.0118,0.2494,0.990
16:39:35:773,0.9577,-0.0108,0.2454,0.989
16:39:35:778,0.9575,-0.0091,0.2447,0.988
16:39:35:783,0.9582,-0.0071,0.2445,0.989
16:39:35:789,0.9587,-0.0052,0.2440,0.989
16:39:35:795,0.9590,-0.0047,0.2457,0.990
16:39:35:798,0.9590,-0.0049,0.2472,0.990
16:39:35:803,0.9599,-0.0045,0.2501,0.992
16:39:35:811,0.9616,-0.0047,0.2528,0.994
16:39:35:814,0.9626,-0.0059,0.2528,0.995
16:39:35:819,0.9621,-0.0076,0.2525,0.995
16:39:35:823,0.9604,-0.0084,0.2545,0.994
16:39:35:828,0.9570,-0.0079,0.2555,0.991
16:39:35:834,0.9536,-0.0064,0.2560,0.987
16:39:35:839,0.9511,-0.0064,0.2535,0.984
16:39:35:847,0.9499,-0.0054,0.2528,0.983
16:39:35:849,0.9511,-0.0042,0.2535,0.984
16:39:35:855,0.9533,-0.0052,0.2542,0.987
16:39:35:859,0.9550,-0.0069,0.2511,0.988
16:39:35:863,0.9560,-0.0071,0.2450,0.987
16:39:35:868,0.9568,-0.0071,0.2403,0.986
16:39:35:874,0.9568,-0.0074,0.2393,0.986
16:39:35:878,0.9577,-0.0081,0.2386,0.987
16:39:35:883,0.9592,-0.0091,0.2401,0.989
16:39:35:888,0.9604,-0.0103,0.2430,0.991
16:39:35:894,0.9614,-0.0115,0.2464,0.993
16:39:35:898,0.9621,-0.0133,0.2496,0.994
16:39:35:903,0.9614,-0.0140,0.2538,0.994
16:39:35:909,0.9612,-0.0150,0.2591,0.996
16:39:35:915,0.9602,-0.0147,0.2626,0.996
16:39:35:918,0.9592,-0.0135,0.2633,0.995
16:39:35:924,0.9575,-0.0115,0.2645,0.993
16:39:35:929,0.9570,-0.0098,0.2652,0.993
16:39:35:934,0.9572,-0.0113,0.2640,0.993
16:39:35:939,0.9558,-0.0128,0.2601,0.991
16:39:35:944,0.9553,-0.0130,0.2545,0.989
16:39:35:948,0.9555,-0.0130,0.2513,0.988
16:39:35:954,0.9558,-0.0135,0.2498,0.988
16:39:35:959,0.9558,-0.0137,0.2503,0.988
16:39:35:964,0.9555,-0.0135,0.2525,0.988
16:39:35:969,0.9563,-0.0125,0.2555,0.990
16:39:35:976,0.9568,-0.0113,0.2586,0.991
16:39:35:979,0.9568,-0.0096,0.2613,0.992
16:39:35:984,0.9585,-0.0098,0.2618,0.994
16:39:35:989,0.9609,-0.0115,0.2584,0.995
16:39:35:994,0.9624,-0.0120,0.2538,0.995
16:39:35:999,0.9624,-0.0113,0.2491,0.994
16:39:36:004,0.9607,-0.0096,0.2432,0.991
16:39:36:010,0.9590,-0.0069,0.2369,0.988
16:39:36:016,0.9582,-0.0057,0.2330,0.986
16:39:36:019,0.9585,-0.0059,0.2320,0.986
16:39:36:024,0.9585,-0.0045,0.2340,0.987
16:39:36:030,0.9585,-0.0037,0.2374,0.987
16:39:36:035,0.9597,-0.0042,0.2420,0.990
16:39:36:040,0.9602,-0.0052,0.2469,0.991
16:39:36:046,0.9592,-0.0054,0.2513,0.992
16:39:36:051,0.9597,-0.0054,0.2547,0.993
16:39:36:055,0.9590,-0.0052,0.2579,0.993
16:39:36:059,0.9570,-0.0042,0.2616,0.992
16:39:36:064,0.9565,-0.0027,0.2652,0.993
16:39:36:069,0.9570,-0.0025,0.2674,0.994
16:39:36:075,0.9599,-0.0023,0.2672,0.996
16:39:36:080,0.9634,-0.0027,0.2650,0.999
16:39:36:085,0.9646,-0.0059,0.2618,0.999
16:39:36:089,0.9648,-0.0079,0.2574,0.999
16:39:36:095,0.9653,-0.0086,0.2533,0.998
16:39:36:100,0.9648,-0.0086,0.2486,0.996
16:39:36:105,0.9646,-0.0081,0.2435,0.995
16:39:36:111,0.9626,-0.0079,0.2384,0.992
16:39:36:116,0.9612,-0.0071,0.2359,0.990
16:39:36:120,0.9590,-0.0059,0.2359,0.988
16:39:36:129,0.9560,-0.0047,0.2376,0.985
16:39:36:130,0.9531,-0.0035,0.2391,0.983
16:39:36:136,0.9511,-0.0030,0.2410,0.981
16:39:36:139,0.9506,-0.0027,0.2442,0.982
16:39:36:145,0.9499,-0.0032,0.2503,0.982
16:39:36:150,0.9499,-0.0045,0.2555,0.984
16:39:36:155,0.9494,-0.0054,0.2601,0.984
16:39:36:160,0.9482,-0.0074,0.2643,0.984
16:39:36:165,0.9475,-0.0079,0.2677,0.985
16:39:36:170,0.9475,-0.0084,0.2692,0.985
16:39:36:176,0.9482,-0.0098,0.2689,0.986
16:39:36:180,0.9484,-0.0113,0.2674,0.985
16:39:36:185,0.9506,-0.0140,0.2650,0.987
16:39:36:190,0.9533,-0.0159,0.2630,0.989
16:39:36:196,0.9553,-0.0167,0.2601,0.990
16:39:36:200,0.9568,-0.0164,0.2589,0.991
16:39:36:205,0.9580,-0.0152,0.2555,0.992
16:39:36:210,0.9599,-0.0137,0.2513,0.992
16:39:36:216,0.9609,-0.0137,0.2484,0.993
16:39:36:220,0.9609,-0.0125,0.2481,0.993
